address,city,date,id,injured,killed,source,state
Mountain Road,Kent,2020-02-20,1628237,0,1,https://dailyvoice.com/connecticut/fairfield/news/fairfield-county-man-accused-of-engaging-in-sex-act-with-minor-found-dead/783870/,Connecticut
81 Park Place,Arcadia,2020-02-20,1637643,1,0,https://www.nbc-2.com/story/41878133/several-arrested-in-arcadia-attempted-murder-investigation,Florida
North Pkwy,Jackson,2020-02-20,1625359,1,0,https://www.wbbjtv.com/2020/02/20/suspect-in-custody-after-domestic-related-shooting/,Tennessee
N Shady Retreat Rd and Limekiln Rd,Doylestown,2020-02-20,1626231,0,1,https://philadelphia.cbslocal.com/2020/03/01/thomas-zeller-dies-doylestown-police-involved-shooting/,Pennsylvania
2800 block of W Owens St,Show Low,2020-02-20,1631428,1,0,https://www.wmicentral.com/news/show_low/man-taken-to-hospital-after-accidental-shooting/article_ab22af4a-c783-58d5-88fd-b998ea9975c5.html,Arizona
34 Church St,New City (Clarkstown),2020-02-20,1627560,0,0,https://www.lohud.com/story/news/crime/2020/02/21/clarkstown-police-finds-guns-and-drugs-nanuet-home/4835397002/,New York
N 24th St,Paducah,2020-02-20,1626239,0,0,https://www.wpsdlocal6.com/news/man-turns-himself-in-for-shooting-in-paducah/article_2f692ab4-5894-11ea-a607-2b0ce9482f68.html,Kentucky
1600 block of 18th St SE,Washington,2020-02-20,1625758,0,1,https://mpdc.dc.gov/release/homicide-1600-block-18th-street-southeast,District of Columbia
5928 SW 17th St,Topeka,2020-02-20,1626255,0,0,https://www.wibw.com/content/news/Police-respond-to-a-fight-with-guns-pulled-at-Topeka-Applebees-568071271.html,Kansas
S 350 E and E 500 S,Monroe,2020-02-20,1628127,0,1,https://www.southbendtribune.com/news/publicsafety/kosciusko-county-coroner-rules-death-of--year-old-boy/article_e8251ade-571f-11ea-a5fa-2bb880e0f050.html,Indiana
48 W Maryland St,Indianapolis,2020-02-20,1625295,0,1,https://www.wishtv.com/news/crime-watch-8/person-dies-in-shooting-near-circle-centre-parking-garage/,Indiana
Brighton Blvd and 38th St,Denver,2020-02-20,1626245,1,0,https://twitter.com/DenverPolice/status/1230703765797212163,Colorado
400 block of Grove Street,Irvington,2020-02-20,1628902,0,1,https://www.nj.com/essex/2020/02/woman-and-her-nephew-charged-in-fatal-shooting-of-young-father-in-irvington.html,New Jersey
E Duval St and NE Webster Ave,Lake City,2020-02-20,1626798,0,0,https://www.wcjb.com/content/news/Lake-City-shooting-investigation-568091681.html,Florida
West Ave,Saratoga Springs,2020-02-20,1626214,0,0,https://cbs6albany.com/news/local/man-accused-of-firing-ar15-rifle-in-apartment-bullet-lodged-in-neighbors-bed,New York
SE Harrison St,Portland (Milwaukie),2020-02-20,1628181,0,0,https://www.koin.com/news/crime/guns-fake-money-found-in-milwaukie-drug-house/,Oregon
E Shelby Dr and Auburn Rd,Memphis,2020-02-20,1625325,0,1,https://wreg.com/news/report-section-of-east-shelby-drive-closed-after-deadly-shooting-crash-in-whitehaven/,Tennessee
500 block of S 18th Ave,Hopewell,2020-02-20,1626106,0,0,https://www.wric.com/news/crime/investigation-underway-after-3-homes-shot-up-in-hopewell/,Virginia
2500 block of Jackson St,Hopewell,2020-02-20,1626105,0,0,https://www.wric.com/news/crime/investigation-underway-after-3-homes-shot-up-in-hopewell/,Virginia
Rosalie St and Red Bud Ave,Saint Louis,2020-02-20,1626201,1,0,https://www.stltoday.com/news/local/crime-and-courts/one-person-in-critical-condition-after-north-st-louis-shooting/article_6afe2e1b-33af-538f-a7d6-54263ee3d991.html,Missouri
N/A,Roosevelt (Ballard),2020-02-20,1636118,0,0,https://ubmedia.biz/news/2406/ballard-man-faces-attempted-aggravated-murder-charge/,Utah
Indiana Ave and 6th St,Kansas City,2020-02-20,1625629,2,0,https://www.kansascity.com/news/local/crime/article240495861.html,Missouri
Heiderscheit Rd,Holy Cross,2020-02-20,1626163,0,1,https://www.kcrg.com/content/news/Man-dies-after-shooting-in-Clayton-County-568087171.html,Iowa
US-30,Brady,2020-02-20,1626157,0,0,https://www.nptelegraph.com/news/police_and_courts/brady-man-arrested-after-deputies-find-weapons-drugs/article_3337bb18-5436-11ea-a050-c3eac0815f6a.html,Nebraska
6200 block of Lavey Ln,Baton Rouge,2020-02-20,1629511,0,0,https://www.theadvocate.com/baton_rouge/news/crime_police/article_38cfa428-58d7-11ea-ae92-1fe16c2e15f1.html,Louisiana
36 Kamper Ave,Buffalo,2020-02-20,1626205,0,1,https://buffalonews.com/2020/02/21/south-buffalo-house-where-teen-was-killed-was-unlicensed-airbnb/,New York
N/A,Petersburg,2020-02-20,1626815,0,0,https://www.nbc12.com/2020/02/26/reward-offered-rifle-stolen-petersburg-police-officers-vehicle/,Virginia
2400 Taylor Dr,Iowa City,2020-02-20,1626127,0,0,https://www.thegazette.com/subject/news/public-safety/more-gunfire-reported-iowa-city-taylor-drive-20200220,Iowa
3020 Children's Way,San Diego,2020-02-20,1625158,0,1,https://www.cbs8.com/article/news/local/riverside-bank-robbery-suspect-leads-police-on-chase-to-san-diego/509-de61bb77-253b-4519-b22a-f423b51ae889,California
6000 block of Madison Ave,Saint Louis (Berkeley),2020-02-20,1625222,0,1,https://www.kmov.com/news/man-dies-after-overnight-shooting-in-berkeley/article_e1d4d04a-53f3-11ea-b32b-2b6fc85a0c14.html,Missouri
3400 block of School St,Oakland,2020-02-20,1625575,1,0,https://www.eastbaytimes.com/2020/02/20/man-shot-in-oaklands-laurel-district/,California
Oakcrest Circle,Brooksville,2020-02-20,1625892,0,1,https://www.tampabay.com/news/hernando/2020/02/20/brooksville-man-waiting-for-haircut-killed-when-his-firearm-discharges/,Florida
Dent St,Elkins,2020-02-20,1625668,1,0,https://www.wdtv.com/content/news/One-taken-to-hospital-after-shooting-568064011.html,West Virginia
Gerrard Ter,Hot Springs National Park (Hot Springs),2020-02-20,1637400,0,0,https://www.hotsr.com/news/2020/mar/10/local-man-charged-in-connection-with-fe/,Arkansas
3418 Joy Rd,Detroit,2020-02-20,1626273,1,1,https://www.clickondetroit.com/news/local/2020/04/11/detroit-police-looking-for-3-men-involved-in-shooting-that-killed-1-injured-another/,Michigan
16042 E 8 Mile Rd,Detroit,2020-02-20,1626276,0,1,https://www.wxyz.com/news/region/detroit/river-rouge-man-already-facing-murder-charges-now-wanted-for-the-deadly-shooting-of-graphic-artist,Michigan
35102 Merle Haggard Dr,Bakersfield,2020-02-20,1626073,0,0,https://www.turnto23.com/news/local-news/no-injuries-reported-after-armed-robber-fires-shot-inside-mcdonalds-kcso-investigating,California
Cochran Rd and Mission View Dr,Morgan Hill,2020-02-20,1626069,2,0,https://www.nbcbayarea.com/news/local/south-bay/2-shot-in-morgan-hill-thursday/2238379/,California
5000 block of Parker Rd,Modesto,2020-02-20,1626065,0,0,https://www.modbee.com/news/local/crime/article240499941.html,California
N/A,Brea,2020-02-20,1626064,0,0,https://ktla.com/2020/02/20/carbon-canyon-regional-park-closed-as-brea-police-search-for-person-who-fired-gun/,California
Seidler Dr,Sumter,2020-02-20,1626912,0,1,https://www.wistv.com/2020/03/21/sumter-co-deputies-arrest-two-connection-with-shooting-death/,South Carolina
Keith Rd,Newnan,2020-02-20,1627318,1,0,https://times-herald.com/news/2020/02/ccso-homeowner-shot-during-burglary,Georgia
CA-12,Suisun City,2020-02-20,1631225,0,0,https://www.timesheraldonline.com/2020/02/22/suisun-city-man-arrested-in-connection-with-drugs-firearm/,California
200 block of South Mosley Rd,Texarkana,2020-02-20,1625658,0,1,https://www.arklatexhomepage.com/news/texarkana-news/police-investigate-fatal-shooting-in-texarkana-ark/,Arkansas
2038 Corner Glen Dr,Orlando,2020-02-20,1625467,0,3,https://www.wesh.com/article/border-protection-agent-strangled-wife-shot-his-children-officials-say/31154928,Florida
N 27th St and W Bobolink Ave,Milwaukee,2020-02-20,1626296,0,1,https://fox6now.com/2020/02/23/a-gun-took-his-life-mother-speaks-about-loss-of-youngest-son-in-shooting-at-29th-and-bobolink/,Wisconsin
Fayetteville St and Nash St,Durham,2020-02-20,1626013,1,0,https://www.wral.com/man-taken-to-durham-hospital-after-shooting/18965913/,North Carolina
N/A,Albuquerque,2020-02-20,1626004,1,0,https://www.abqjournal.com/1422658/bcso-investigating-shooting.html,New Mexico
4925 Plum Creek Rd,Taylorsville,2020-02-20,1625310,0,1,https://www.wlky.com/article/man-dead-after-report-of-trespassing-in-spencer-county-police-say-1582310178/31044855,Kentucky
145 Greenfield Dr,Forest City,2020-02-20,1625992,0,1,https://wlos.com/news/local/homicide-investigation-underway-after-forest-city-shooting-left-one-dead,North Carolina
50 block of Liberty St,Aberdeen,2020-02-20,1627975,0,0,https://foxbaltimore.com/news/local/3-suspects-arrested-after-woman-and-her-son-were-shot-at-in-aberdeen,Maryland
1000 block of Fairview Ave,Hyattsville (Chillum),2020-02-20,1625763,0,1,https://pgpolice.blogspot.com/2020/02/pgpd-investigating-fatal-shooting-in.html,Maryland
1400 block of US-29,Athens,2020-02-20,1626880,2,0,https://www.onlineathens.com/news/20200221/athens-man-charged-with-shooting-2-people,Georgia
Greentown Rd,Georgetown,2020-02-20,1625981,0,0,https://abcnews4.com/news/local/heroin-loaded-firearms-recovered-during-georgetown-drug-bust,South Carolina
1300 block of Half St SW,Washington,2020-02-20,1627183,1,0,https://www.popville.com/2020/02/130pm-shooting-near-nats-park-mpd-quickly-stopped-two-potential-shooters-and-recovered-two-illegal-firearms/,District of Columbia
N/A,Albuquerque,2020-02-20,1627958,0,0,https://www.krqe.com/news/albuquerque-metro/teen-who-shot-at-house-will-stay-in-jail/,New Mexico
N Arlington Ave and E 38th St,Indianapolis,2020-02-20,1625976,0,1,https://fox59.com/news/police-respond-to-shooting-on-indys-east-side/,Indiana
Jenkins St,Lagrange,2020-02-20,1625974,1,0,https://www.wtvm.com/2020/02/21/man-shot-while-driving-near-jenkins-st-lagrange-police-searching-suspect/,Georgia
564 W James Lee Blvd,Crestview,2020-02-20,1625868,0,1,https://www.nwfdailynews.com/news/20200221/woman-arrested-in-shooting-death-of-man-at-crestview-hotel,Florida
US-60 and Country Club Dr,Mesa,2020-02-20,1625137,0,0,https://www.phoenix.gov/newsroom/police/1174,Arizona
NE 1st St,Crystal River,2020-02-20,1625909,0,1,https://www.wtsp.com/article/news/local/citruscounty/possible-shooting-sparks-citrus-county-alert/67-9f9eaea8-e472-4ea9-8066-c17ba403574d,Florida
20028 N 67th Ave,Glendale,2020-02-20,1634176,0,0,https://www.azcentral.com/story/news/local/glendale/2020/03/07/glendale-armed-robbery-leads-police-arrest-scott-mcleman-identity-theft-scheme/4956600002/,Arizona
900 block of Mill Creek Rd,Bradenton,2020-02-20,1625905,0,0,https://www.bradenton.com/news/local/crime/article240511266.html,Florida
